Date,FLDATA.Death,FLDATA.DeathIncrease
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,2,2
2020-3-12,2,0
2020-3-13,2,0
2020-3-14,3,1
2020-3-15,4,1
2020-3-16,4,0
2020-3-17,6,2
2020-3-18,7,1
2020-3-19,8,1
2020-3-20,10,2
2020-3-21,12,2
2020-3-22,13,1
2020-3-23,14,1
2020-3-24,18,4
2020-3-25,22,4
2020-3-26,28,6
2020-3-27,34,6
2020-3-28,54,20
2020-3-29,56,2
2020-3-30,63,7
2020-3-31,77,14
2020-4-1,87,10
2020-4-2,128,41
2020-4-3,163,35
2020-4-4,191,28
2020-4-5,218,27
2020-4-6,236,18
2020-4-7,296,60
2020-4-8,309,13
2020-4-9,354,45
2020-4-10,390,36
2020-4-11,438,48
2020-4-12,465,27
2020-4-13,483,18
2020-4-14,537,54
2020-4-15,609,72
2020-4-16,646,37
2020-4-17,699,53
2020-4-18,754,55
2020-4-19,781,27
2020-4-20,806,25
2020-4-21,856,50
2020-4-22,910,54
2020-4-23,979,69
2020-4-24,1031,52
2020-4-25,1075,44
2020-4-26,1094,19
2020-4-27,1101,7
2020-4-28,1154,53
2020-4-29,1240,86
2020-4-30,1290,50
2020-5-1,1314,24
2020-5-2,1388,74
2020-5-3,1403,15
2020-5-4,1423,20
2020-5-5,1536,113
2020-5-6,1605,69
2020-5-7,1667,62
2020-5-8,1738,71
2020-5-9,1785,47
2020-5-10,1791,6
2020-5-11,1805,14
2020-5-12,1849,44
2020-5-13,1898,49
2020-5-14,1948,50
2020-5-15,1991,43
2020-5-16,2040,49
2020-5-17,2049,9
2020-5-18,2073,24
2020-5-19,2129,56
2020-5-20,2173,44
2020-5-21,2222,49
2020-5-22,2268,46
2020-5-23,2312,44
2020-5-24,2316,4
2020-5-25,2331,15
2020-5-26,2338,7
2020-5-27,2400,62
2020-5-28,2446,46
2020-5-29,2495,49
2020-5-30,2530,35
2020-5-31,2534,4
2020-6-1,2543,9
2020-6-2,2613,70
2020-6-3,2650,37
2020-6-4,2691,41
2020-6-5,2745,54
2020-6-6,2773,28
2020-6-7,2786,13
2020-6-8,2798,12
2020-6-9,2851,53
2020-6-10,2889,38
2020-6-11,2938,49
2020-6-12,2967,29
2020-6-13,3016,49
2020-6-14,3022,6
2020-6-15,3030,8
2020-6-16,3085,55
2020-6-17,3110,25
